,title,area,numberOfRooms,price,town,district
13656,KURTULUŞ EMLAK LOCAMAHAL 2+1 SATILIK PEYZAJ MANZARALI,94.0,2+1,3.450.000,Çırpıcı,Sümer Mh.
13657,"YENİ BİNADA SANTE PLUS HASTANESİNE, TRAMVAYA YAKIN 2+1 DAİRE",80.0,2+1,1.500.000,Çırpıcı,Veliefendi Mah.
13658,ASİL EMLAK'TAN SATILIK 3+3 DUBLEX DAİRE,220.0,4+2,3.400.000,Beştelsiz,Gökalp Mh.
13659,İnistanbul Topkapı Gala Satılık 3+1 Daire 133m2 Amerikan Mutfak,133.0,3+1,6.500.000,Maltepe,
13660,KURTULUŞ EMLAK GÖKALP 2+1 MARMARAYA YÜRÜME MESAFESİ,90.0,2+1,1.450.000,Beştelsiz,Gökalp Mh.
13661,"ASANSÖRLÜ , İSKANLI , DUBLEX DAİRE",150.0,4.5+1,2.750.000,Beştelsiz,Gökalp Mh.
13662,KURTULUŞ EMLAK MERKEZEFENDİ 5+2 YENİ BİNADA AYRI GİRİŞLİ DUBLEKS,260.0,5+2,3.775.000,Merkezefendi,
13663,SATILIK YENİDOĞAN'DA İSKANLI DUBLEX DAİRE,85.0,1+1,1.400.000,Beştelsiz,Yenidoğan Mh.
13664,BEYAZ PARK TOPKAPI SATILIK,160.0,3+1,8.280.000,Maltepe,
13665,Bakırköy Yedi Mavi Residence Deniz Manzara 5+1 Satılık Büyükyalı,370.0,4+1,45.500.000,Beştelsiz,Kazlıçeşme Mh.
13666,ACİLL THE İSTANBUL VELİEFENDİ KONUTLARINDA SATILIK 2+1 DAİRE,137.0,2+1,7.350.000,Çırpıcı,Sümer Mh.
13667,VELİEFENDİ MERKEZİ KONUMDA SATILIK DUBLEX,218.0,4+1,6.000.000,Çırpıcı,Veliefendi Mah.
13668,ZEYTİNBURNU/NURİ PAŞA MAHALLESi 2+1 85 M2 MERV CADDESİ ÜZERİNDE,95.0,2+1,1.450.000,Çırpıcı,Nuripaşa Mh.
13669,merkezi konumda kullanisli temiz yeni dubleks daire,180.0,5+1,4.000.000,Merkezefendi,
13670,STAR PROJE'DEN NEF İNİSTANBUL'DA EŞYALI BOŞ SATILIK 2+1 DAİRE,120.0,2+1,4.200.000,Maltepe,
13671,Nisa Emlak'tan acil satılık daire 2+1 90 mtr kar 5,97.0,2+1,850.000,Çırpıcı,Yeşiltepe Mh.
13672,Eco'dan Loca Mahal Zeytinburnu'nda Acil Satılık 3+1 Peyzaj Cephe,119.0,3+1,7.125.000,Çırpıcı,Sümer Mh.
13673,Zeytinburnu Büyük Yalı Karşısı Dubleks Daire Eng-Arabic,284.0,3+2,3.750.000,Beştelsiz,Kazlıçeşme Mh.
13674,ÇİĞDEM MERKEZ ŞUBEDEN LOCAMAHAL PROJESİNDE PEYZAJ MANZARALI 1+1,75.0,1+1,2.525.000,Çırpıcı,Sümer Mh.
13675,Çiğdem Emlak Veliefendi ŞB. Telsiz'de Satılık Dublex 5+2,235.0,5+2,3.500.000,Beştelsiz,Telsiz Mah.
13676,ZEYTİNBURNU GÖKALPDE CADDEÜSTÜ 2+1 80m² KREDİLİ SATILIK DAİRE...,80.0,2+1,1.145.000,Beştelsiz,Gökalp Mh.
13677,AKADEMİ' DEN TOPKAPI İNİSTANBUL' DA AÇIK MUTFAK SATILIK 3+1,156.0,3+1,5.500.000,Maltepe,
13678,BÜYÜKYALI FİŞEKHANE'DE DENİZ MANZARALI 3+1 FULL DENİZ MANZARA,300.0,3+1,30.600.000,Beştelsiz,Kazlıçeşme Mh.
